index,title,question_id,answer_id,question_url,answer_url,loc_gpt,comments_gpt,comments_density_gpt,cc_gpt,npath_gpt,cognitive_gpt,var_names_gpt,mi_gpt,loc_stackoverflow,comments_stackoverflow,comments_density_stackoverflow,cc_stackoverflow,npath_stackoverflow,cognitive_stackoverflow,var_names_stackoverflow,mi_stackoverflow,up_votes,comment_count,answer_count,score,favorite_count
0,Why is processing a sorted array faster than processing an unsorted array?,11227809,11227902,https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array,https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array/11227902#11227902,27.0,8.0,0.2962962962962963,5.0,16.0,5.0,6.545454545454546,122.275560588051,24.0,0.0,0.0,1.0,1.0,1.0,1.0,154.24412008219068,27079.0,9.0,25.0,26983.0,0.0
1,Why is subtracting these two times (in 1927) giving a strange result?,6841333,6841479,https://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result,https://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result/6841479#6841479,10.0,0.0,0.0,1.0,1.0,1.0,5.5,131.17963842216847,12.0,0.0,0.0,3.0,3.0,3.0,6.0,128.3619820196079,7527.0,7.0,10.0,7486.0,0.0
2,How do I read / convert an InputStream into a String in Java?,309424,309448,https://stackoverflow.com/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java,https://stackoverflow.com/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java/309448#309448,20.0,0.0,0.0,2.0,1.0,1.0,1.0,154.96219217751923,8.0,1.0,0.125,1.0,1.0,1.0,1.0,159.95690398326485,4647.0,3.0,64.0,4639.0,0.0
4,What are the differences between a HashMap and a Hashtable in Java?,40471,40878,https://stackoverflow.com/questions/40471/what-are-the-differences-between-a-hashmap-and-a-hashtable-in-java,https://stackoverflow.com/questions/40471/what-are-the-differences-between-a-hashmap-and-a-hashtable-in-java/40878#40878,18.0,5.0,0.2777777777777778,1.0,1.0,1.0,6.666666666666667,125.00672310378869,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,4279.0,5.0,35.0,4271.0,0.0
5,Create ArrayList from array,157944,157950,https://stackoverflow.com/questions/157944/create-arraylist-from-array,https://stackoverflow.com/questions/157944/create-arraylist-from-array/157950#157950,8.0,0.0,0.0,1.0,1.0,1.0,1.0,159.95690398326485,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,4061.0,0.0,42.0,4054.0,0.0
7,How do I efficiently iterate over each entry in a Java Map?,46898,46908,https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map,https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map/46908#46908,11.0,2.0,0.1818181818181818,1.0,1.0,1.0,1.0,158.30094458144848,11.0,0.0,0.0,1.0,1.0,1.0,1.0,158.30094458144848,3926.0,2.0,46.0,3916.0,0.0
8,"Why don&#39;t Java&#39;s +=, -=, *=, /= compound assignment operators require casting?",8710619,8710685,https://stackoverflow.com/questions/8710619/why-dont-javas-compound-assignment-operators-require-casting,https://stackoverflow.com/questions/8710619/why-dont-javas-compound-assignment-operators-require-casting/8710685#8710685,5.0,0.0,0.0,1.0,1.0,1.0,1.0,162.40092285534269,8.0,0.0,0.0,1.0,1.0,1.0,1.0,159.95690398326485,3841.0,15.0,11.0,3830.0,0.0
9,Why is char[] preferred over String for passwords?,8881291,8881376,https://stackoverflow.com/questions/8881291/why-is-char-preferred-over-string-for-passwords,https://stackoverflow.com/questions/8881291/why-is-char-preferred-over-string-for-passwords/8881376#8881376,10.0,0.0,0.0,1.0,1.0,1.0,6.333333333333333,128.894165130358,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,3819.0,0.0,17.0,3810.0,0.0
10,Iterate through a HashMap,1066589,1066603,https://stackoverflow.com/questions/1066589/iterate-through-a-hashmap,https://stackoverflow.com/questions/1066589/iterate-through-a-hashmap/1066603#1066603,20.0,2.0,0.1,2.0,1.0,1.0,1.0,154.96219217751923,10.0,0.0,0.0,2.0,2.0,1.0,2.6666666666666665,142.67712361764097,3754.0,2.0,7.0,3737.0,0.0
12,"What is the difference between public, protected, package-private and private in Java?",215497,215505,https://stackoverflow.com/questions/215497/what-is-the-difference-between-public-protected-package-private-and-private-in,https://stackoverflow.com/questions/215497/what-is-the-difference-between-public-protected-package-private-and-private-in/215505#215505,8.0,4.0,0.5,1.0,1.0,1.0,1.0,159.95690398326485,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,3642.0,12.0,30.0,3624.0,0.0
